"Time","172.30.0.118:9100","172.30.0.120:9100","172.30.0.12:9100","172.30.0.20:9100","172.30.0.34:9100","172.30.0.37:9100","172.30.0.38:9100","172.30.0.60:9100","172.30.0.77:9100","172.30.0.84:9100","172.30.0.88:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 10:08:30,30.8 GiB,31.0 GiB,30.8 GiB,,30.8 GiB,30.8 GiB,30.8 GiB,6.54 GiB,30.8 GiB,4.58 GiB,,30.8 GiB,30.8 GiB,30.4 GiB
2025-05-13 10:09:00,30.8 GiB,,30.8 GiB,,30.8 GiB,30.8 GiB,30.8 GiB,6.73 GiB,30.8 GiB,4.65 GiB,31.0 GiB,30.8 GiB,29.8 GiB,30.2 GiB
2025-05-13 10:09:30,30.8 GiB,,30.8 GiB,,30.8 GiB,30.8 GiB,30.8 GiB,6.74 GiB,30.8 GiB,4.68 GiB,,29.4 GiB,28.7 GiB,30.8 GiB
2025-05-13 10:10:00,30.8 GiB,,30.8 GiB,,30.8 GiB,30.8 GiB,30.8 GiB,6.56 GiB,30.3 GiB,4.61 GiB,,30.1 GiB,30.0 GiB,28.9 GiB
2025-05-13 10:10:30,29.3 GiB,29.2 GiB,29.3 GiB,30.2 GiB,30.8 GiB,30.8 GiB,27.8 GiB,7.96 GiB,30.4 GiB,5.68 GiB,31.0 GiB,30.0 GiB,30.7 GiB,30.0 GiB
2025-05-13 10:11:00,29.2 GiB,28.7 GiB,29.3 GiB,28.0 GiB,29.8 GiB,30.7 GiB,27.9 GiB,8.24 GiB,30.5 GiB,4.24 GiB,28.2 GiB,30.8 GiB,30.5 GiB,30.5 GiB
2025-05-13 10:11:30,29.3 GiB,28.8 GiB,29.4 GiB,30.0 GiB,29.9 GiB,30.8 GiB,28.0 GiB,6.16 GiB,30.6 GiB,3.68 GiB,28.3 GiB,29.3 GiB,30.8 GiB,30.5 GiB
2025-05-13 10:12:00,30.4 GiB,30.0 GiB,30.1 GiB,31.0 GiB,30.0 GiB,30.8 GiB,29.3 GiB,5.86 GiB,30.8 GiB,4.56 GiB,28.6 GiB,30.3 GiB,29.5 GiB,30.7 GiB
2025-05-13 10:12:30,30.8 GiB,30.9 GiB,30.8 GiB,,30.7 GiB,30.8 GiB,30.8 GiB,7.07 GiB,30.8 GiB,5.13 GiB,30.1 GiB,29.7 GiB,28.4 GiB,29.2 GiB
2025-05-13 10:13:00,30.8 GiB,17.1 GiB,30.8 GiB,17.4 GiB,30.8 GiB,30.8 GiB,30.8 GiB,7.06 GiB,30.8 GiB,5.01 GiB,30.5 GiB,29.0 GiB,30.4 GiB,30.5 GiB
2025-05-13 10:13:30,30.8 GiB,23.8 GiB,30.8 GiB,21.4 GiB,30.8 GiB,30.8 GiB,30.8 GiB,6.75 GiB,30.8 GiB,3.56 GiB,30.5 GiB,29.9 GiB,29.0 GiB,30.1 GiB
2025-05-13 10:14:00,30.2 GiB,28.5 GiB,30.8 GiB,25.2 GiB,30.8 GiB,30.2 GiB,30.8 GiB,6.39 GiB,30.8 GiB,3.51 GiB,30.5 GiB,30.5 GiB,29.6 GiB,30.4 GiB
