"Time","mimir-ingester-zone-b-5","mimir-ingester-zone-b-3","mimir-ingester-zone-c-0","mimir-ingester-zone-c-4","mimir-ingester-zone-b-4","mimir-ingester-zone-b-0","mimir-ingester-zone-c-5","mimir-ingester-zone-c-3","mimir-ingester-zone-b-2","mimir-ingester-zone-b-1","mimir-ingester-zone-a-4","mimir-ingester-zone-a-3","mimir-ingester-zone-c-1","mimir-ingester-zone-c-2","mimir-ingester-zone-a-0","mimir-ingester-zone-a-1","mimir-ingester-zone-a-2","mimir-ingester-zone-a-5"
2025-05-13 10:01:00,6440015,6619031,6672248,5945362,6507148,6658869,6038262,6843136,6487687,6366164,6647567,6417865,6490385,6906674,6628348,6599659,6902888,5765366
2025-05-13 10:01:30,6547444,6719847,6772438,6032458,6615710,6771391,6142908,6960971,6599743,6478331,6754297,6525555,6604143,7029450,6740469,6702442,7021740,5860218
2025-05-13 10:02:00,6638300,6819547,6872031,6119494,6707619,6865595,6230049,7060705,6692472,6571361,6854647,6615990,6699607,7129700,6837680,6802246,7119992,5946968
2025-05-13 10:02:30,6757142,6944439,6985802,6220651,6827660,6988535,6336403,7181759,6808319,6676711,6961030,6734498,6806752,7244002,6954953,6907598,7244611,6042015
2025-05-13 10:03:00,6881873,7114582,7103831,6324882,6953067,7131822,6441874,7300292,6938184,6784975,7074327,6859033,6917180,7361451,7072602,7023242,7381544,6138093
2025-05-13 10:03:30,7135677,7351843,7309723,6514166,7210531,7388798,6681844,7572158,7195270,7031208,7304565,7111812,7168801,7627594,7334504,7241189,7656194,6347539
2025-05-13 10:04:00,7423463,7667284,7559031,6746321,7497856,7693131,6944838,7871296,7492180,7284699,7565253,7397006,7424884,7898879,7624389,7501252,7972247,6572576
2025-05-13 10:04:30,7758325,8045876,7862607,7010378,7832385,8053466,7239231,8206513,7830147,7580029,7857944,7727531,7727023,8222094,7951834,7784405,8332796,6831019
2025-05-13 10:05:00,8231119,8512382,8270476,7392982,8310437,8544879,7692673,8721051,8304833,8050822,8342358,8200262,8207528,8729515,8449390,8241540,8838374,7250763
2025-05-13 10:05:30,8556766,8815034,8746155,7809218,8640845,8865641,8010848,9080894,8626558,8425611,8770769,8526291,8585303,9142722,8795036,8687959,9180916,7618961
