"Time","prom-ring-metamonitoring-8b625-qgvl5","prom-ring-mimir-c9v8w-49rdv","prom-ring-mimir-c9v8w-5jgfl","prom-ring-mimir-c9v8w-68tx8","prom-ring-mimir-c9v8w-7bzlr","prom-ring-mimir-c9v8w-8g5px","prom-ring-mimir-c9v8w-8zwl2","prom-ring-mimir-c9v8w-9x2nw","prom-ring-mimir-c9v8w-ckkk8","prom-ring-mimir-c9v8w-dfslj","prom-ring-mimir-c9v8w-fgspk","prom-ring-mimir-c9v8w-pgnn8","prom-ring-mimir-c9v8w-qm9s5"
2025-05-13 10:03:30,230 MiB,13.1 GiB,11.9 GiB,12.8 GiB,13.8 GiB,13.3 GiB,12.7 GiB,12.6 GiB,12.7 GiB,12.4 GiB,12.8 GiB,230 MiB,192 MiB
2025-05-13 10:04:00,205 MiB,13.2 GiB,12.4 GiB,12.8 GiB,14.8 GiB,13.3 GiB,12.7 GiB,12.7 GiB,12.9 GiB,12.4 GiB,12.8 GiB,205 MiB,189 MiB
2025-05-13 10:04:30,201 MiB,13.3 GiB,13.3 GiB,13.1 GiB,15.1 GiB,13.6 GiB,12.7 GiB,12.7 GiB,13.0 GiB,12.7 GiB,13.1 GiB,201 MiB,175 MiB
2025-05-13 10:05:00,572 MiB,13.7 GiB,13.3 GiB,15.0 GiB,15.1 GiB,15.0 GiB,13.7 GiB,14.2 GiB,13.3 GiB,13.9 GiB,15.0 GiB,572 MiB,443 MiB
2025-05-13 10:05:30,497 MiB,15.2 GiB,14.2 GiB,15.0 GiB,15.2 GiB,15.8 GiB,14.9 GiB,15.0 GiB,14.2 GiB,14.8 GiB,15.0 GiB,497 MiB,184 MiB
2025-05-13 10:06:00,810 MiB,15.7 GiB,14.3 GiB,15.0 GiB,15.2 GiB,15.8 GiB,15.2 GiB,15.0 GiB,14.8 GiB,14.8 GiB,15.0 GiB,810 MiB,868 MiB
2025-05-13 10:06:30,631 MiB,15.7 GiB,14.3 GiB,15.0 GiB,,15.8 GiB,15.2 GiB,15.0 GiB,14.8 GiB,14.8 GiB,15.0 GiB,631 MiB,613 MiB
2025-05-13 10:07:00,2.10 GiB,15.8 GiB,14.3 GiB,15.1 GiB,,15.8 GiB,15.2 GiB,15.1 GiB,14.8 GiB,14.8 GiB,15.1 GiB,2.10 GiB,1.71 GiB
2025-05-13 10:07:30,2.41 GiB,15.8 GiB,14.4 GiB,15.4 GiB,,15.9 GiB,15.3 GiB,15.2 GiB,14.8 GiB,14.9 GiB,15.4 GiB,2.41 GiB,2.47 GiB
2025-05-13 10:08:00,1.93 GiB,15.9 GiB,14.7 GiB,15.4 GiB,,16.2 GiB,15.3 GiB,15.5 GiB,14.9 GiB,15.1 GiB,15.4 GiB,1.93 GiB,1.83 GiB
2025-05-13 10:08:30,1.33 GiB,15.9 GiB,14.7 GiB,15.4 GiB,,16.2 GiB,15.3 GiB,15.6 GiB,14.9 GiB,15.1 GiB,15.4 GiB,1.33 GiB,1.30 GiB
2025-05-13 10:09:00,1.48 GiB,15.9 GiB,14.7 GiB,15.4 GiB,,16.2 GiB,15.3 GiB,15.6 GiB,14.9 GiB,15.1 GiB,15.4 GiB,1.48 GiB,1.39 GiB
2025-05-13 10:09:30,1.49 GiB,15.9 GiB,14.7 GiB,15.4 GiB,,16.2 GiB,15.3 GiB,14.9 GiB,14.9 GiB,15.1 GiB,15.4 GiB,1.49 GiB,1.39 GiB
2025-05-13 10:10:00,1.30 GiB,15.9 GiB,14.7 GiB,15.4 GiB,16.3 GiB,16.2 GiB,15.3 GiB,15.6 GiB,14.9 GiB,15.1 GiB,15.4 GiB,1.30 GiB,1.25 GiB
2025-05-13 10:10:30,3.00 GiB,15.9 GiB,14.7 GiB,13.7 GiB,13.9 GiB,15.3 GiB,15.3 GiB,15.4 GiB,14.9 GiB,14.3 GiB,13.7 GiB,3.00 GiB,2.78 GiB
2025-05-13 10:11:00,2.96 GiB,15.9 GiB,14.3 GiB,13.7 GiB,13.7 GiB,14.5 GiB,13.7 GiB,14.3 GiB,14.8 GiB,14.3 GiB,13.7 GiB,2.96 GiB,2.60 GiB
2025-05-13 10:11:30,1.05 GiB,15.9 GiB,14.4 GiB,13.8 GiB,15.4 GiB,14.5 GiB,13.7 GiB,14.3 GiB,14.8 GiB,14.3 GiB,13.8 GiB,1.05 GiB,295 MiB
