"Time","172.30.0.108:9100","172.30.0.10:9100","172.30.0.17:9100","172.30.0.22:9100","172.30.0.24:9100","172.30.0.44:9100","172.30.0.50:9100","172.30.0.79:9100","172.30.0.8:9100","177.93.133.114:9100","177.93.133.115:9100","177.93.133.85:9100"
2025-05-13 02:24:30,4.48 MiB,3.88 MiB,12.7 MiB,4.99 MiB,28.1 MiB,5.49 MiB,5.37 MiB,58.2 MiB,68.4 MiB,72.5 MiB,74.2 MiB,70.7 MiB
2025-05-13 02:25:00,17.1 MiB,9.59 MiB,7.25 MiB,10.8 MiB,77.3 MiB,16.7 MiB,14.7 MiB,145 MiB,49.2 MiB,88.7 MiB,75.9 MiB,79.3 MiB
2025-05-13 02:25:30,13.7 MiB,41.1 MiB,28.6 MiB,20.8 MiB,139 MiB,29.2 MiB,16.5 MiB,164 MiB,189 MiB,77.3 MiB,85.9 MiB,91.6 MiB
2025-05-13 02:26:00,20.5 MiB,10.2 MiB,22.9 MiB,11.8 MiB,83.0 MiB,24.0 MiB,15.9 MiB,212 MiB,129 MiB,81.1 MiB,77.2 MiB,76.4 MiB
2025-05-13 02:26:30,36.5 MiB,56.7 MiB,40.0 MiB,33.9 MiB,137 MiB,64.2 MiB,34.5 MiB,470 MiB,257 MiB,85.5 MiB,84.8 MiB,87.7 MiB
2025-05-13 02:27:00,33.9 MiB,79.1 MiB,66.6 MiB,38.4 MiB,153 MiB,63.5 MiB,34.2 MiB,408 MiB,475 MiB,86.4 MiB,84.0 MiB,86.7 MiB
2025-05-13 02:27:30,17.4 MiB,25.9 MiB,60.1 MiB,12.0 MiB,55.3 MiB,21.3 MiB,15.3 MiB,148 MiB,,79.7 MiB,77.7 MiB,82.2 MiB
2025-05-13 02:28:00,36.2 MiB,54.8 MiB,22.8 MiB,38.3 MiB,175 MiB,65.6 MiB,34.4 MiB,414 MiB,,81.0 MiB,90.4 MiB,81.6 MiB
2025-05-13 02:28:30,5.09 MiB,30.7 MiB,,7.03 MiB,78.0 MiB,7.63 MiB,4.75 MiB,46.5 MiB,372 MiB,74.7 MiB,78.3 MiB,80.8 MiB
2025-05-13 02:29:00,28.3 MiB,24.2 MiB,,22.8 MiB,98.7 MiB,39.9 MiB,21.2 MiB,366 MiB,46.5 MiB,83.6 MiB,78.8 MiB,82.2 MiB
2025-05-13 02:29:30,31.2 MiB,64.8 MiB,56.0 MiB,146 MiB,148 MiB,60.5 MiB,30.7 MiB,413 MiB,417 MiB,83.8 MiB,88.5 MiB,82.1 MiB
2025-05-13 02:30:00,10.7 MiB,41.6 MiB,59.1 MiB,210 MiB,96.0 MiB,29.4 MiB,14.6 MiB,145 MiB,387 MiB,83.1 MiB,81.9 MiB,84.1 MiB
2025-05-13 02:30:30,21.1 MiB,21.8 MiB,18.9 MiB,189 MiB,97.9 MiB,32.0 MiB,20.3 MiB,,108 MiB,75.9 MiB,79.4 MiB,76.1 MiB
2025-05-13 02:31:00,4.20 MiB,13.2 MiB,34.8 MiB,23.4 MiB,47.4 MiB,4.99 MiB,5.72 MiB,,220 MiB,80.5 MiB,84.0 MiB,83.4 MiB
2025-05-13 02:31:30,4.74 MiB,6.17 MiB,5.15 MiB,8.05 MiB,85.4 MiB,2.17 MiB,3.49 MiB,20.5 MiB,26.5 MiB,74.9 MiB,81.9 MiB,80.9 MiB
2025-05-13 02:32:00,16.0 MiB,6.58 MiB,4.74 MiB,11.6 MiB,63.8 MiB,13.7 MiB,6.02 MiB,174 MiB,16.0 MiB,81.5 MiB,80.5 MiB,78.2 MiB
2025-05-13 02:32:30,44.1 MiB,63.7 MiB,33.3 MiB,60.8 MiB,153 MiB,72.8 MiB,31.9 MiB,543 MiB,213 MiB,91.6 MiB,79.5 MiB,85.4 MiB
2025-05-13 02:33:00,36.3 MiB,68.3 MiB,75.1 MiB,71.2 MiB,148 MiB,66.8 MiB,37.3 MiB,484 MiB,555 MiB,83.4 MiB,86.2 MiB,87.0 MiB
2025-05-13 02:33:30,25.3 MiB,62.8 MiB,71.2 MiB,52.4 MiB,128 MiB,45.3 MiB,28.3 MiB,320 MiB,485 MiB,79.3 MiB,81.1 MiB,86.0 MiB
2025-05-13 02:34:00,14.7 MiB,40.2 MiB,45.1 MiB,34.2 MiB,108 MiB,30.6 MiB,18.0 MiB,180 MiB,295 MiB,80.5 MiB,81.8 MiB,83.2 MiB
2025-05-13 02:34:30,7.76 MiB,7.91 MiB,26.2 MiB,6.37 MiB,65.0 MiB,4.41 MiB,6.33 MiB,21.2 MiB,151 MiB,80.2 MiB,80.1 MiB,79.7 MiB
2025-05-13 02:35:00,6.48 MiB,4.77 MiB,4.53 MiB,4.42 MiB,65.0 MiB,3.68 MiB,3.21 MiB,16.2 MiB,22.8 MiB,77.8 MiB,81.9 MiB,83.4 MiB
2025-05-13 02:35:30,21.0 MiB,18.3 MiB,4.91 MiB,26.7 MiB,86.7 MiB,28.6 MiB,15.4 MiB,202 MiB,32.1 MiB,80.3 MiB,84.1 MiB,78.7 MiB
