"Time","177.93.133.115:19090","177.93.133.115:19091","177.93.133.115:19092","177.93.133.115:19093","177.93.133.115:19094","177.93.133.115:19095","177.93.133.115:19096","177.93.133.115:19097","177.93.133.115:19098","177.93.133.115:19099","177.93.133.115:19100"
2025-05-13 02:24:30,3191985,921150,3195990,3043800,3316140,3123900,2935665,2843550,,,
2025-05-13 02:25:00,805742,2491110,3260070,3083850,3404250,3191985,3023775,2911635,,,
2025-05-13 02:25:30,2495077,3171960,3336165,3131910,0,3260070,335087,2987730,,,
2025-05-13 02:26:00,3384225,3187980,3336165,3183975,4005,3292110,2366955,3031785,,,
2025-05-13 02:26:30,3388230,3191985,275390,3183975,3424275,3292110,3111885,3055815,,,
2025-05-13 02:27:00,3388230,3191985,2039345,496620,3472335,3292110,3111885,3055815,,,
2025-05-13 02:27:30,3388230,3191985,3336165,2105846,3472335,3292110,3111885,3055815,,,
2025-05-13 02:28:00,3388230,3191985,3336165,3183975,3472335,3292110,3111885,3055815,,,
2025-05-13 02:28:30,3388230,3191985,3336165,3183975,247678,3292110,3111885,3055815,,,
2025-05-13 02:29:00,3388230,3191985,3336165,3183975,2110635,3292110,3111885,3055815,,,
2025-05-13 02:29:30,3388230,3191985,3336165,3183975,3472335,623346,3111885,328962,,,
2025-05-13 02:30:00,3388230,3191985,3336165,3183975,3472335,2234790,3111885,1926405,,,
2025-05-13 02:30:30,3388230,576720,3336165,3183975,3472335,3292110,3111885,3055815,,,
2025-05-13 02:31:00,3388230,2190707,0,3183975,3472335,3292110,3111885,3055815,,,
2025-05-13 02:31:30,3388230,3191985,1421775,3183975,3472335,528660,3111885,3055815,,,
2025-05-13 02:32:00,3388230,3191985,973215,3183975,2839545,3292110,3111885,3055815,,,
2025-05-13 02:32:30,3388230,3191985,2547180,3183975,449049,3292110,3111885,3055815,,,
2025-05-13 02:33:00,3388230,3191985,3336165,3183975,2150685,3292110,3111885,3055815,,,
2025-05-13 02:33:30,3388230,3191985,3336165,0,3472335,3292110,3111885,172215,,,
2025-05-13 02:34:00,3388230,3191985,3336165,3183975,3472335,3292110,3111885,3055815,,,
2025-05-13 02:34:30,3388230,3204000,3336165,3107880,3488355,3300120,380475,3063825,,,
2025-05-13 02:35:00,3424275,3232035,3384225,3260070,91570,3001164,2032735,3087855,,,
2025-05-13 02:35:30,540675,3308130,0,3300120,3596490,3356190,3183975,3119895,,,
2025-05-13 02:36:00,2434596,45234,1578600,3360195,3688605,0,3240045,3187980,,,
2025-05-13 02:36:30,3596490,1798971,44055,3392235,0,3508380,3308130,3264075,,,
2025-05-13 02:37:00,3636540,3408255,1883428,3400245,1658070,3500370,3316140,3284100,,,
2025-05-13 02:37:30,3644550,3408255,3596490,3400245,3578053,3576465,3324150,3296115,,,
2025-05-13 02:38:00,3644550,3408255,3596490,3400245,3788730,3576465,3324150,330698,,,
2025-05-13 02:38:30,3644550,3408255,3596490,3400245,1758195,3576465,3324150,1986480,,,
2025-05-13 02:39:00,3644550,3408255,3612510,3408255,3417723,184230,3324150,3296115,,,
2025-05-13 02:39:30,3652560,3448305,620780,636176,3836790,1910729,3336268,3300120,,,
2025-05-13 02:40:00,3704625,220275,2432365,2346930,3892860,3592485,3388230,3316140,,,
2025-05-13 02:40:30,2222775,2020313,3760695,3155940,3940920,3640545,0,3392235,540675,,
2025-05-13 02:41:00,3856815,3592485,3824775,3580470,528660,3736665,3596490,3452310,1532448,,
2025-05-13 02:41:30,3904875,3612510,3844800,3616515,2050560,3788730,3348046,3504375,2010510,,
2025-05-13 02:42:00,0,981225,0,3620520,2050560,748935,3644550,648810,2014515,,
2025-05-13 02:42:30,1620691,2807505,1660901,3620520,2050560,2683707,3644550,3508380,2014515,,
2025-05-13 02:43:00,3640545,1910385,3844800,380475,2050560,3812760,3644550,3508380,2014515,,
2025-05-13 02:43:30,3928905,3612510,3844800,2206755,2050560,3812760,3644550,3508380,2014515,,
2025-05-13 02:44:00,3928905,3632535,0,3640545,2062575,0,3355441,3508380,2014515,,
2025-05-13 02:44:30,3321741,872379,1994490,3684600,2066580,2042607,3672585,3516390,2022525,0,
2025-05-13 02:45:00,3980970,3724650,3976965,109073,2098620,3876840,704880,0,2050560,965205,384480
